,id,station_name,station_line,area,rent_price,lease_price,pos_x,pos_y,지하철역명,rent,lease
128,6f3c4077-4fc3-4bc5-8503-1e411a247f24,우장산,5호선,,3,5,37.548768,126.836318,우장산,3.151,4.463
129,704d9e9b-72e1-49e3-9269-b9d2aab9e9eb,석촌,8호선,,3,6,37.505431,127.106979,석촌,3.402,6.214
130,7217f8de-9975-4fb5-a360-75d82e90bb5b,연신내,6호선,,4,6,37.619001,126.921008,연신내,3.579,6.435
131,727e1ddc-c663-4d20-8257-5f945380a2b4,내방,7호선,,4,6,37.487618,126.993513,내방,3.869,6.517
132,739d6b1b-c318-4c2b-9906-8f18f710ecd4,반포,7호선,,4,6,37.508178,127.011727,반포,0.0,6.126
133,7550c2a2-96e7-4a3c-9c05-ffa8aa6bdff0,숭실대입구,7호선,,4,6,37.496029,126.953822,숭실대입구,3.902,5.783
134,763e3269-912d-41b3-b484-7cae21715a87,석계,1호선,,3,5,37.614805,127.065851,석계,3.064,5.316
135,7662d2fb-7cf6-4f71-8489-72daf1f4596c,신대방삼거리,7호선,,4,6,37.499701,126.928276,신대방삼거리,3.882,6.055
136,77141a74-88b0-4840-bc63-fdb6d29550b8,봉천,2호선,,4,9,37.482362,126.941892,봉천,3.797,9.128
137,776029b1-b265-46d8-ba10-fe4b1f104a69,상왕십리,2호선,,4,6,37.564354,127.029354,상왕십리,3.534,5.714
138,77aea884-4cdb-42ee-b7b2-5b1582dffbd1,장승배기,7호선,,4,6,37.504898,126.93915,장승배기,3.916,6.009
139,79514db3-1212-4bed-859f-da82d1deb00c,화랑대,6호선,,3,4,37.620064,127.084689,화랑대,2.027,3.367
140,7a675562-8cee-40fe-bc0a-ad37e2ff1c7a,장암,7호선,,3,4,37.700109,127.053196,장암,1.826,1.635
141,7ac1f314-e637-4d47-94b7-b670e1a3946a,무악재,3호선,,3,3,37.582299,126.950291,무악재,2.157,1.898
142,7d4cf01a-8380-41d6-8f38-70ad5585ab5b,동대입구,3호선,,3,4,37.559052,127.005602,동대입구,3.225,3.645
143,7d78c636-19a4-4c05-9634-cdce879a9b18,몽촌토성,8호선,,4,9,37.517409,127.112359,몽촌토성,4.478,9.136
144,7ed8956d-531e-47ac-89c8-9bab27aad4c9,개화산,5호선,,3,5,37.572399,126.806171,개화산,2.505,5.015
145,8023194d-ee6e-4199-ab52-f63109d8af70,공릉,7호선,,3,4,37.625742,127.072896,공릉,2.86,4.35
146,80243d41-f55f-409b-8fcc-2014cfc77e99,수서,3호선,,4,5,37.487371,127.10188,수서,3.744,4.984
147,80d6d340-44a4-4572-8707-04df035d1180,삼각지,4호선,,4,9,37.534777,126.97311,삼각지,3.71,8.533
148,8298ab53-e1c0-4af6-a0a8-decc2c8a6d0b,교대,2호선,,5,8,37.493415,127.01408,교대,4.848,7.338
149,82c8408e-bbca-4784-b83e-ee930fde7f42,이태원,6호선,,3,3,37.534488,126.994302,이태원,2.539,3.5
150,837f28de-3d20-470f-aae6-b87e25de4d68,잠실나루,2호선,,4,7,37.520733,127.10379,잠실나루,4.274,0.0
151,840924fd-0165-48d2-8fbb-f1275ef96aa5,용산,1호선,,4,4,37.529849,126.964561,용산,3.605,3.611
152,8581f306-fb92-4566-afd9-97842f8c2533,교대,3호선,,5,8,37.493415,127.01408,교대,4.848,7.338
153,85c11059-7b06-4be1-8124-1b0879a615c6,고속터미널,3호선,,3,4,37.50481,127.004943,고속터미널,3.129,3.643
154,88d4d780-1a4e-4e77-8b7d-7742b027cf36,녹사평,6호선,,3,6,37.534675,126.986695,녹사평,3.147,5.814
155,8b2a1469-5414-41f3-b41c-f805aef792ac,암사,8호선,,4,6,37.55021,127.127562,암사,3.724,6.431
156,8b5089ec-19f1-45e4-8542-fd93dbe9613a,새절,6호선,,3,5,37.591148,126.913629,새절,3.281,4.62
157,8bca8cee-34cb-4b44-8c1c-63df34566c6e,왕십리,2호선,,4,8,37.561533,127.037732,왕십리,4.363,8.21
158,8be14300-a4e5-4efd-b799-257b5662c022,중화,7호선,,3,5,37.602545,127.079264,중화,3.184,5.01
